date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:22	81005/81005	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2016:19:21%20GMT	https://www.foremostmedia.com/industries/manufacturing	C:/My%20Web%20Sites/3two/www.foremostmedia.com/industries/manufacturing.html	(from )
21:49:23	1500/1500	---M--	200	added ('OK')	text	date:Thu,%2027%20Oct%202022%2016:19:23%20GMT	https://www.foremostmedia.com/robots.txt		(from )
21:49:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2016:19:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/3two/www.googletagmanager.com/gtm.15445.delayed	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:25	4350/4350	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2001:02:24%20GMT	https://www.foremostmedia.com/Portals/_default/admin.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Portals/_default/admin424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:26	5127/5127	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2019:45:45%20GMT	https://www.foremostmedia.com/DesktopModules/ForemostMedia/FmFormBuilder/css/application.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/DesktopModules/ForemostMedia/FmFormBuilder/css/application424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:27	2886/2886	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Aug%202021%2001:02:24%20GMT	https://www.foremostmedia.com/Resources/Search/SearchSkinObjectPreview.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Search/SearchSkinObjectPreview424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:29	3988/3988	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202014%2023:38:48%20GMT	https://www.foremostmedia.com/Portals/0/portal.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Portals/0/portal424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:31	140936/140936	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Nov%202020%2015:27:04%20GMT	https://www.foremostmedia.com/Resources/Libraries/bootstrap/04_01_03/css/bootstrap.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/bootstrap/04_01_03/css/bootstrap.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:32	91088/91088	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:05:56%20GMT	https://www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/fontawesome.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/fontawesome.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:33	632/632	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:05:56%20GMT	https://www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/regular.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/regular.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:34	632/632	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:05:56%20GMT	https://www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/brands.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/brands.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:36	620/620	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:05:56%20GMT	https://www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/light.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/light.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:37	624/624	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:05:56%20GMT	https://www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/solid.min.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/font-awesome/05_15_01/css/solid.min424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:39	6655/6655	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2016:10:39%20GMT	https://www.foremostmedia.com/Resources/Libraries/offcanmenu/02_00_08/css/off-can-menu.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/offcanmenu/02_00_08/css/off-can-menu424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:40	1776/1776	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202020%2016:15:32%20GMT	https://www.foremostmedia.com/Resources/Libraries/slick/01_08_01/css/slick.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/slick/01_08_01/css/slick424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:41	2774/2774	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202020%2016:15:32%20GMT	https://www.foremostmedia.com/Resources/Libraries/slick/01_08_01/css/slick-theme.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Resources/Libraries/slick/01_08_01/css/slick-theme424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:43	38739/38739	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Aug%202022%2016:49:25%20GMT	https://www.foremostmedia.com/Portals/_default/skins/foremostmedia-theme/css/base.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Portals/_default/skins/foremostmedia-theme/css/base424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:45	69819/69819	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2018:31:30%20GMT	https://www.foremostmedia.com/Portals/_default/skins/foremostmedia-theme/css/interior.css?cdv=2297	C:/My%20Web%20Sites/3two/www.foremostmedia.com/Portals/_default/skins/foremostmedia-theme/css/interior424b.css	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:47	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js?cdv=2297	C:/My%20Web%20Sites/3two/code.jquery.com/jquery-3.5.1.min424b.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:49	10183/10183	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-27c7%22	https://code.jquery.com/jquery-migrate-3.2.0.min.js?cdv=2297	C:/My%20Web%20Sites/3two/code.jquery.com/jquery-migrate-3.2.0.min424b.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:50	253668/253668	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js?cdv=2297	C:/My%20Web%20Sites/3two/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min424b.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:50	60024/60024	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ecf-ea78%22	https://cdnjs.cloudflare.com/ajax/libs/knockout/3.4.1/knockout-min.js?cdv=2297	C:/My%20Web%20Sites/3two/cdnjs.cloudflare.com/ajax/libs/knockout/3.4.1/knockout-min424b.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:51	23068/23068	---M-Z	200	added ('OK')	application/javascript	etag:%22802d345cb33d21:0%22	https://ajax.aspnetcdn.com/ajax/4.6/1/WebForms.js	C:/My%20Web%20Sites/3two/ajax.aspnetcdn.com/ajax/4.6/1/WebForms.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:52	102694/102694	---M-Z	200	added ('OK')	application/javascript	etag:%2206c3a45cb33d21:0%22	https://ajax.aspnetcdn.com/ajax/4.6/1/MicrosoftAjax.js	C:/My%20Web%20Sites/3two/ajax.aspnetcdn.com/ajax/4.6/1/MicrosoftAjax.js	(from https://www.foremostmedia.com/industries/manufacturing)
21:49:52	40307/40307	---M-Z	200	added ('OK')	application/javascript	etag:%22ef892346cb33d21:0%22	https://ajax.aspnetcdn.com/ajax/4.6/1/MicrosoftAjaxWebForms.js	C:/My%20Web%20Sites/3two/ajax.aspnetcdn.com/ajax/4.6/1/MicrosoftAjaxWebForms.js	(from https://www.foremostmedia.com/industries/manufacturing)
